area;cut;fert;taxa_pred_herb;abun_her;abun_par;abun_her_rec;taxa_pred_par;media_carbs_totais;media_prots_totais;gords_totais
a1;no;no;0.35;12;0;12;0;0.34044;0.1978;0.012
a1;no;no;0.52;62;0;62;0;0.36087;0.1785;0.016
a1;no;no;0.41;1;0;1;0;0.33046;0.182;0.014
a1;no;no;0.67;68;8;76;0.105263158;0.38177;0.2188;0.009
a1;no;no;0.27;2;0;2;0;0.36469;0.1943;0.009
a1;no;no;0.84;42;10;52;0.192307692;0.23637;0.2363;0.013
a1;no;no;0.07;66;3;69;0.043478261;0.27551;0.1575;0.01
a1;no;no;0.3;7;0;7;0;0.34408;0.21;0.022
a1;no;yes;0.22;23;1;24;0.041666667;0.44808;0.1663;0.008
a1;no;yes;0.44;7;0;7;0;0.34337;0.2083;0.008
a1;no;yes;0.19;47;13;60;0.216666667;0.34616;0.1908;0.007
a1;no;yes;0.64;85;39;124;0.314516129;0.39009;0.2083;0.009
a1;no;yes;0.61;16;3;19;0.157894737;0.36338;0.1715;0.011
a1;no;yes;0.3;2;8;10;0.8;0.21227;0.1978;0.0152
a1;no;yes;0.15;1;1;2;0.5;0.23799;0.182;0.016
a1;no;yes;0.78;3;0;3;0;0.29428;0.1908;0.013
a1;yes;no;0.17;0;1;1;1;0.30307;0.1943;0.006
a1;yes;no;0.05;1;0;1;0;0.32651;0.196;0.01
a1;yes;yes;0.46;1;3;4;0.75;0.33557;0.21;0.006
a2;no;no;0.59;4;1;5;0.2;0.33342;0.1645;0.009
a2;no;no;0.65;106;25;131;0.190839695;0.37203;0.1943;0.01
a2;no;no;0.55;37;19;56;0.339285714;0.40263;0.175;0.01
a2;no;no;0.66;26;2;28;0.071428571;0.29037;0.2135;0.013
a2;no;no;0.76;95;25;120;0.208333333;0.37037;0.1873;0.008
a2;no;no;0.81;23;13;36;0.361111111;0.24784;0.1908;0.009
a2;no;no;0.79;5;1;6;0.166666667;0.31641;0.1926;0.009
a2;no;no;0.74;47;30;77;0.38961039;0.41791;0.2135;0.013
a2;no;no;0.59;54;7;61;0.114754098;0.24494;0.1908;0.01
a2;no;no;0.39;21;21;42;0.5;0.30899;0.217;0.008
a2;no;yes;0.58;78;20;98;0.204081633;0.38583;0.21;0.007
a2;no;yes;0.72;13;21;34;0.617647059;0.33649;0.2065;0.007
a2;no;yes;0.75;63;14;77;0.181818182;0.34499;0.2223;0.006
a2;no;yes;0.62;9;6;15;0.4;0.30653;0.1943;0.006
a2;no;yes;0.45;66;8;74;0.108108108;0.26623;0.2013;0.009
a2;no;yes;0.62;4;0;4;0;0.38473;0.1978;0.007
a2;yes;no;0.58;3;2;5;0.4;0.31079;0.2083;0.009
a2;yes;no;0.04;88;48;136;0.352941176;0.25624;0.2083;0.006
a2;yes;no;0.58;0;4;4;1;0.29432;0.2118;0.006
a2;yes;yes;0.12;15;8;23;0.347826087;0.27202;0.2065;0.008
a2;yes;yes;0.47;54;6;60;0.1;0.35297;0.203;0.006
a2;yes;yes;0.46;6;1;7;0.142857143;0.31538;0.1891;0.007
