orgao;area;planta;tratamento;trat_cut;trat_fert;total_totalfenols;total_hydrolizable;total_condensed
fruto;a1;a1c01;Co;no;no;57.48;54.38;398.56
fruto;a1;a1c02;Co;no;no;35.08;28.13;243.15
fruto;a1;a1c04;Co;no;no;165.51;216.17;990.74
fruto;a1;a1c06;Co;no;no;77.21;17.35;537.23
fruto;a1;a1c07;Co;no;no;75.93;48.46;760.95
fruto;a1;a1c08;Co;no;no;48.96;124.87;572.09
fruto;a1;a1c09;Co;no;no;29.04;112.43;134.46
fruto;a1;a1c10;Co;no;no;62.93;192.92;325.31
fruto;a1;a1f01;F;no;yes;67.3;226.37;477.16
fruto;a1;a1f02;F;no;yes;82.71;116.69;491.24
fruto;a1;a1f03;F;no;yes;116.77;317.08;732.23
fruto;a1;a1f04;F;no;yes;88.57;1.91;478.54
fruto;a1;a1f05;F;no;yes;63.19;216.46;458.2
fruto;a1;a1f06;F;no;yes;215.73;654.36;2259.15
fruto;a1;a1f07;F;no;yes;170.53;529.43;1964.23
fruto;a1;a1f09;F;no;yes;38.12;25.87;191.8
fruto;a1;a1p01;C;yes;no;190.03;673.22;1016.39
fruto;a1;a1p02;C;yes;no;50.21;18.58;244.92
fruto;a1;aPF03;CF;yes;yes;29.57;17.33;46.93
fruto;a2;aC01;Co;no;no;16.2;7.81;72.95
fruto;a2;aC02;Co;no;no;69.37;29.29;512.06
fruto;a2;aC03;Co;no;no;37.97;7.16;296
fruto;a2;aC04;Co;no;no;18.59;56.49;85.92
fruto;a2;aC05;Co;no;no;36.33;45.67;127.43
fruto;a2;aC06;Co;no;no;53.32;35.65;116.96
fruto;a2;aC07;Co;no;no;59.68;8.2;256.02
fruto;a2;aC08;Co;no;no;14.81;13.73;47.47
fruto;a2;aC09;Co;no;no;44.55;53.85;65.28
fruto;a2;aC10;Co;no;no;36.56;10.13;99.6
fruto;a2;a2f01;F;no;yes;100.04;184.96;458.2
fruto;a2;a2f02;F;no;yes;49;54.95;316.04
fruto;a2;a2f03;F;no;yes;63.71;181.9;399.92
fruto;a2;a2f04;F;no;yes;72.64;202.42;676.52
fruto;a2;a2f06;F;no;yes;19.69;50.66;161.2
fruto;a2;a2f09;F;no;yes;44.36;41.32;155.41
fruto;a2;a2p04;C;yes;no;63.15;40.65;295.18
fruto;a2;a2p09;C;yes;no;18.12;11.56;124.75
fruto;a2;a2p10;C;yes;no;48.49;38.68;257.51
fruto;a2;a2pf01;CF;yes;yes;58;55.41;179.95
fruto;a2;a2pf06;CF;yes;yes;29.87;28.07;99.88
fruto;a2;a2pf08;CF;yes;yes;41.92;35.88;271.6
