area;planta;tratamento;trat_cut;trat_fert;number_seed_avalability;area_semente;biofruto;taxa_pred_herb;abun_her;abun_par;taxa_pred_par
A1;C01;2C;no;no;8.12;27.62;3.05;0.35;12;0;0
A1;C02;2C;no;no;12.45;30.31;3.95;0.52;62;0;0
A1;C04;2C;no;no;8.83;24.71;3.04;0.41;1;0;0
A1;C06;2C;no;no;11.45;28.33;3.4;0.67;68;8;0.105263158
A1;C07;2C;no;no;5.78;29.27;3.04;0.27;2;0;0
A1;C08;2C;no;no;12.72;31.51;7.24;0.84;42;10;0.192307692
A1;C09;2C;no;no;4;26.32;1.76;0.07;0;0;0
A1;C10;2C;no;no;9.17;29.31;4.04;0.3;66;3;0.043478261
A1;F01;3F;no;yes;6.33;27.05;2.79;0.22;7;0;0
A1;F02;3F;no;yes;8.57;31.05;3.22;0.44;23;1;0.041666667
A1;F03;3F;no;yes;7.53;25.69;3.74;0.19;7;0;0
A1;F04;3F;no;yes;11.5;33.18;4.8;0.64;47;13;0.216666667
A1;F05;3F;no;yes;10.32;29.91;3.74;0.61;85;39;0.314516129
A1;F06;3F;no;yes;4.03;27.67;2.26;0.3;17;3;0.15
A1;F07;3F;no;yes;2.64;11;0.82;0.15;2;8;0.8
A1;F08;3F;no;yes;5.75;22.35;1.82;0.78;1;1;0.5
A1;F09;3F;no;yes;10.18;22.54;2.52;0.3;3;0;0
A1;P01;0P;yes;no;6;26.31;3.67;0.17;0;1;1
A1;P02;0P;yes;no;4;17.35;1.58;0.05;1;0;0
A1;1PF03;1PF;yes;yes;11;17.76;3.8;0.46;0;0;0
A1;1PF08;1PF;yes;yes;6;37.76;2.62;0.16;1;3;0.75
A2;C01;2C;no;no;8.26;21.05;1.54;0.59;4;1;0.2
A2;C02;2C;no;no;10.79;30.07;3.78;0.65;106;25;0.190839695
A2;C03;2C;no;no;12.33;29.43;6.19;0.55;37;19;0.339285714
A2;C05;2C;no;no;11.41;32.23;6.74;0.76;96;25;0.20661157
A2;C06;2C;no;no;11.11;30.12;2.4;0.81;23;13;0.361111111
A2;C07;2C;no;no;10.17;24.03;4.25;0.79;5;1;0.166666667
A2;C08;2C;no;no;10.63;37.24;4.82;0.74;47;30;0.38961039
A2;C09;2C;no;no;9;26.67;3.36;0.59;54;7;0.114754098
A2;C10;2C;no;no;6.35;21.57;3.19;0.39;26;21;0.446808511
A2;F01;3F;no;yes;10.83;37.11;4.21;0.58;79;20;0.202020202
A2;F02;3F;no;yes;5.86;23.04;1.82;0.72;13;21;0.617647059
A2;F03;3F;no;yes;10.06;34.29;3.86;0.75;63;14;0.181818182
A2;F04;3F;no;yes;8.76;23.72;2.64;0.62;9;6;0.4
A2;F05;3F;no;yes;8;22.5;1.76;0;0;0;0
A2;F06;3F;no;yes;10.22;25.99;3.02;0.45;66;8;0.108108108
A2;F07;3F;no;yes;4;21.64;1.48;0;0;0;0
A2;F09;3F;no;yes;10.5;37.26;4.49;0.62;4;0;0
A2;P02;0P;yes;no;5;27.31;2.12;0;0;0;0
A2;P03;0P;yes;no;11;42.47;4.74;0.27;3;2;0.4
A2;P06;0P;yes;no;4;14.07;1.44;0;0;0;0
A2;P09;0P;yes;no;1.8;17.93;2.22;0.04;0;0;0
A2;P10;0P;yes;no;10.81;30.4;4.64;0.58;15;8;0.347826087
A2;1PF01;1PF;yes;yes;4.5;14.12;3.71;0.12;0;0;0
