area;planta;Tratamento;bruchinae;lep_sp1;lep_sp2;lep_sp3;lep_sp4;lep_sp5;diptera_sp1;formicidae_sp2;formicidae_sp3;coleoptera_sp1;coleoptera_sp2;blattaria_sp1;hy_sp1;hy_sp2;hy_sp3;hy_sp4;hy_sp5;hy_sp6;hy_sp7;hy_sp8;hy_sp9;hy_sp10;hy_sp11;hy_sp12;hy_sp13;hy_sp14;hy_sp15;hy_sp16;hy_sp17
A1;C01;Co;6;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;C02;Co;40;20;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;C03;Co;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1;C04;Co;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;C05;Co;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1;C06;Co;51;12;2;1;0;1;0;0;0;0;0;0;1;2;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0
A1;C07;Co;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;C08;Co;4;19;0;6;0;0;10;0;0;0;0;0;3;0;1;0;6;1;1;0;0;0;0;0;0;0;1;0;0
A1;C09;Co;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1;C10;Co;20;39;2;4;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
A1;F01;F;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;F02;F;20;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;F03;F;3;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;F04;F;20;21;1;5;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;1;0;0;0;0;0;0;0;0;0
A1;F05;F;41;19;4;6;0;0;15;0;0;0;0;0;0;16;0;1;14;0;0;2;0;0;6;0;0;0;0;0;0
A1;F06;F;1;8;0;1;1;0;2;0;1;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1
A1;F07;F;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0
