area;planta;tratamento;trat_cut;trat_fert;fertilizant;cut;CAP_2015;num_frutos_2015;biomassa_frutos_2015;totalphenols_g_1g_plant;hydrolyzable_g_1g_plant;condensed_g_1g_plant;tannins_g_1g_plant;number_seed_avalability;percentage_seed_avalability;area_semente;biofruto;media_carbs_totais;media_prots_totais;gords_totais;prot_carb;prot_lip;carb_lip;taxa_predco;taxa_predlep;taxa_predhy;taxa_pred_total;totalphenols_g_1g_fruit;totalphenols_g_1g_seed;hydrolyzable_g_1g_fruit;hydrolyzable_g_1g_seed;condensed_g_1g_fruit;condensed_g_1g_seed
A1;1PF03;1PF;yes;yes;1;1;49.5;2;7.74;0;0;0.23;0.1;11;1;17.76;3.8;0.34;0.21;0.01;0.63;35;55.93;0;0;0.46;0.46;0;;0;;0.36;
A1;1PF04;1PF;yes;yes;1;1;31;0;0;0;0;0.31;0.31;;;;;;;;;;;;;;;;;;;;
A1;1PF05;1PF;yes;yes;1;1;40;0;0;0;0.01;0.24;0.25;;;;;;;;;;;;;;;;;;;;
A1;1PF06;1PF;yes;yes;1;1;35.5;0;0;0;0;0.37;0.38;;;;;;;;;;;;;;;;;;;;
A1;1PF07;1PF;yes;yes;1;1;40;0;0;0;0;0.68;0.69;;;;;;;;;;;;;;;;;;;;
A1;1PF08;1PF;yes;yes;1;1;33;1;2.63;0;0;0.23;0.23;6;0.67;37.76;2.62;;;;;;;;;;;;;;;;
A1;1PF09;1PF;yes;yes;1;1;30;0;0;0;0.01;0.37;0.38;;;;;;;;;;;;;;;;;;;;
A1;1PF10;1PF;yes;yes;1;1;45.5;0;0;0;0.01;0.54;0.56;;;;;;;;;;;;;;;;;;;;
A2;1PF01;1PF;yes;yes;1;1;36;2;8;0;0;0.22;0.17;4.5;0.35;14.12;3.71;0.27;0.21;0.01;0.76;25.81;34;0;0.08;0.04;0.12;0;;0;;0.27;
A2;1PF05;1PF;yes;yes;1;1;32.93;0;0;0;0;0.36;0.19;;;;;;;;;;;;;;;;;;;;
A2;1PF07;1PF;yes;yes;1;1;21;0;0;0;0.01;0.3;918.8;;;;;;;;;;;;;;;;;;;;
A2;1PF09;1PF;yes;yes;1;1;25.24;0;0;0;0;0.24;1977.74;;;;;;;;;;;;;;;;;;;;
A2;1PF10;1PF;yes;yes;1;1;30;0;0;0;0.01;0.18;1054.77;;;;;;;;;;;;;;;;;;;;
A1;P01;0P;yes;no;0;1;48.5;2;7.57;0;0.01;0.32;0.27;6;0.5;26.31;3.67;0.3;0.19;0.01;0.64;32.38;50.51;0;0.17;0;0.17;0;;0;;0.39;
A1;P02;0P;yes;no;0;1;42.79;2;3.25;0;0;0.23;0.23;4;0.48;17.35;1.58;0.33;0.2;0.01;0.6;19.6;32.65;0;0;0.05;0.05;;;;;;
A1;P03;0P;yes;no;0;1;43;0;0;0;0.01;0.41;0.43;;;;;;;;;;;;;;;;;;;;
A1;P04;0P;yes;no;0;1;43;0;0;0;0.01;0.25;0.26;;;;;;;;;;;;;;;;;;;;
A1;P05;0P;yes;no;0;1;37;0;0;0;0.01;0.43;0.44;;;;;;;;;;;;;;;;;;;;
A1;P06;0P;yes;no;0;1;38.5;0;0;0;0.01;0.38;0.39;;;;;;;;;;;;;;;;;;;;
A1;P07;0P;yes;no;0;1;33;0;0;0;0;0.25;0.26;;;;;;;;;;;;;;;;;;;;
A1;P08;0P;yes;no;0;1;31.78;0;0;0;0.01;0.33;0.34;;;;;;;;;;;;;;;;;;;;
A1;P09;0P;yes;no;0;1;43.46;0;0;0;0.01;0.43;0.43;;;;;;;;;;;;;;;;;;;;
A1;P10;0P;yes;no;0;1;27;0;0;0;0.01;0.44;0.45;;;;;;;;;;;;;;;;;;;;
A2;P01;0P;yes;no;0;1;34;0;0;0;0;0.18;0.18;;;;;;;;;;;;;;;;;;;;
A2;P02;0P;yes;no;0;1;30.5;2;4.3;0;0;0.4;0.4;5;0.38;27.31;2.12;;;;;;;;;;;0;;0;;0.4;
A2;P03;0P;yes;no;0;1;21;1;5.98;0;0.01;0.31;0.3;11;1;42.47;4.74;;;;;;;;;;;0;;0;;0.33;
A2;P06;0P;yes;no;0;1;33.03;1;1.44;0;0.01;0.42;0.44;4;0.57;14.07;1.44;;;;;;;;;;;;;;;;
A2;P07;0P;yes;no;0;1;23;0;0;0;0;0.28;0.28;;;;;;;;;;;;;;;;;;;;
A2;P08;0P;yes;no;0;1;28;1;1.34;0;0.01;0.46;0.47;6;0.67;;1.34;;;;;;;;;;;;;;;;
A2;P09;0P;yes;no;0;1;23.5;5;11.08;0;0;0.31;0.33;1.8;0.17;17.93;2.22;0.26;0.21;0.01;0.81;34.72;42.71;0;0.04;0;0.04;0;;0;;0.28;
A2;P10;0P;yes;no;0;1;;16;76.36;0;0;0.32;0.28;10.81;0.94;30.4;4.64;0.29;0.21;0.01;0.72;35.3;49.05;0.02;0.38;0.17;0.58;0;;0;;0.36;
A1;F01;3F;no;yes;1;0;39.5;9;26.66;0;0.01;0.35;0.34;6.33;0.75;27.05;2.79;0.45;0.17;0.01;0.37;20.79;56.01;0.09;0.12;0.01;0.22;0;0.01;0;0;0.36;0.05
A1;F02;3F;no;yes;1;0;45.25;157;435.24;0;0;0.22;0.3;8.57;0.82;31.05;3.22;0.34;0.21;0.01;0.61;26.04;42.92;0.06;0.34;0.04;0.44;0;;0;;0.37;
A1;F03;3F;no;yes;1;0;33;137;239.46;0;0.01;0.33;0.31;7.53;0.62;25.69;3.74;0.35;0.19;0.01;0.55;27.26;49.45;0.01;0.15;0.03;0.19;0;;0;;0.37;
A1;F04;3F;no;yes;1;0;39;582;2226.75;0;0;0.2;0.25;11.5;0.94;33.18;4.8;0.39;0.21;0.01;0.53;23.14;43.34;0.09;0.54;0.01;0.64;0;0.01;0;0;0.34;0.06
A1;F05;3F;no;yes;1;0;38;85;284.73;0;0.01;0.22;0.35;10.32;0.9;29.91;3.74;0.36;0.17;0.01;0.47;15.59;33.03;0.1;0.49;0.01;0.61;0;0.01;0;0;0.33;0.12
A1;F06;3F;no;yes;1;0;38;75;69.74;0;0.01;0.37;0.43;4.03;0.48;27.67;2.26;0.21;0.2;0.02;0.93;13.01;13.97;0.01;0.28;0.01;0.3;0;;0;;0.25;
A1;F07;3F;no;yes;1;0;41.69;16;11.54;0;0.01;0.51;0.54;2.64;0.42;11;0.82;0.24;0.18;0.02;0.76;11.38;14.87;0;0.09;0.06;0.15;0;;0;;0.49;
A1;F08;3F;no;yes;1;0;29;4;7.69;0;0;0.28;0.23;5.75;0.7;22.35;1.82;0.29;0.19;0.01;0.65;14.68;22.64;0;0.71;0.07;0.78;0;;0;;0.33;
A1;F09;3F;no;yes;1;0;36;11;27.88;0;0;0.3;0.25;10.18;0.92;22.54;2.52;;;;;;;;;;;0;;5.18E-05;;0.35;
A1;F10;3F;no;yes;1;0;38;0;0;0;0;0.21;0.21;;;;;;;;;;;;;;;;;;;;
A2;F01;3F;no;yes;1;0;34.5;60;260.78;0;0;0.17;0.23;10.83;0.95;37.11;4.21;0.39;0.21;0.01;0.54;30;55.12;0.05;0.46;0.07;0.58;0;0.01;0;0;0.3;0.13
A2;F02;3F;no;yes;1;0;31;43;84.63;0;0;0.33;0.32;5.86;0.59;23.04;1.82;0.34;0.21;0.01;0.61;29.5;48.07;0.01;0.34;0.37;0.72;0;;0;;0.36;
A2;F03;3F;no;yes;1;0;22;159;636.35;0;0.01;0.3;0.15;10.06;0.9;34.29;3.86;0.34;0.22;0.01;0.64;37.05;57.5;0.02;0.69;0.04;0.75;;;;;;
