area;tratamento;planta;condensed_g_1g_plant;totalphenols_g_1g_plant;hydrolyzable_g_1g_plant;media_carbs_totais;media_prots_totais;gords_totais;biofruto;area_semente;number_seed_avalability;bruchinae;lep_sp1;lep_sp2;lep_sp3;lep_sp4;lep_sp5;hy_sp1;diptera_sp1;formicidae_sp2;formicidae_sp3;coleoptera_sp1;coleoptera_sp2;blattaria_sp1
A1;C;C01;0.24;0;0;0.34;0.2;0.01;3.05;27.62;8.12;6;5;0;0;0;0;0;1;0;0;0;0;0
A1;C;C02;0.13;0;0;0.36;0.18;0.02;3.95;30.31;12.45;40;20;1;0;0;0;0;1;0;0;0;0;0
A1;C;C03;;;;;;;;;;;;;;;;;;;;;;
A1;C;C04;0.24;0;0;0.33;0.18;0.01;3.04;24.71;8.83;0;1;0;0;0;0;0;0;0;0;0;0;0
A1;C;C05;;;;;;;;;;;;;;;;;;;;;;
A1;C;C06;0.24;0;0;0.38;0.22;0.01;3.4;28.33;11.45;51;12;2;1;0;1;1;0;0;0;0;0;0
A1;C;C07;0.3;0;0;0.36;0.19;0.01;3.04;29.27;5.78;1;1;0;0;0;0;0;0;0;0;0;0;0
A1;C;C08;0.33;0;0.01;0.24;0.24;0.01;7.24;31.51;12.72;4;19;0;6;0;0;3;10;0;0;0;0;0
A1;C;C09;0.16;0;0.01;0.28;0.16;0.01;1.76;26.32;4;;;;;;;;;;;;;
A1;C;C10;0.17;0;0;0.34;0.21;0.02;4.04;29.31;9.17;20;39;2;4;0;1;0;0;0;0;0;0;0
A1;F;F01;0.35;0;0.01;0.45;0.17;0.01;2.79;27.05;6.33;6;0;1;0;0;0;0;0;0;0;0;0;0
A1;F;F02;0.22;0;0;0.34;0.21;0.01;3.22;31.05;8.57;20;0;2;0;1;0;0;0;0;0;0;0;0
A1;F;F03;0.33;0;0.01;0.35;0.19;0.01;3.74;25.69;7.53;3;3;0;0;0;0;1;0;0;0;0;0;0
A1;F;F04;0.2;0;0;0.39;0.21;0.01;4.8;33.18;11.5;20;21;1;5;0;0;0;0;0;0;0;0;0
A1;F;F05;0.22;0;0.01;0.36;0.17;0.01;3.74;29.91;10.32;41;19;4;6;0;0;0;15;0;0;0;0;0
A1;F;F06;0.37;0;0.01;0.21;0.2;0.02;2.26;27.67;4.03;1;8;0;1;1;0;3;2;0;1;0;0;0
A1;F;F07;0.51;0;0.01;0.24;0.18;0.02;0.82;11;2.64;0;0;0;0;0;0;2;0;0;0;0;0;0
A1;F;F08;0.28;0;0;0.29;0.19;0.01;1.82;22.35;5.75;0;1;0;0;0;0;0;0;0;0;0;0;0
A1;F;F09;0.3;0;0;;;;2.52;22.54;10.18;0;2;0;0;0;0;0;1;0;0;0;0;0
A1;F;F10;0.21;0;0;;;;;;;;;;;;;;;;;;;
A1;P;P02;0.23;0;0;0.33;0.2;0.01;1.58;17.35;4;0;0;0;0;0;0;1;0;0;0;0;0;0
A1;P;P03;0.41;0;0.01;;;;;;;;;;;;;;;;;;;
A1;P;P04;0.25;0;0.01;;;;;;;;;;;;;;;;;;;
A1;P;P05;0.43;0;0.01;;;;;;;;;;;;;;;;;;;
A1;P;P06;0.38;0;0.01;;;;;;;;;;;;;;;;;;;
A1;P;P07;0.25;0;0;;;;;;;;;;;;;;;;;;;
A1;P;P08;0.33;0;0.01;;;;;;;;;;;;;;;;;;;
A1;P;P09;0.43;0;0.01;;;;;;;;;;;;;;;;;;;
A1;P;P10;0.44;0;0.01;;;;;;;;;;;;;;;;;;;
A1;PF;PF01;;;;;;;;;;;;;;;;;;;;;;
A1;PF;PF02;;;;;;;;;;;;;;;;;;;;;;
A1;PF;PF03;0.23;0;0;0.34;0.21;0.01;3.8;17.76;11;;;;;;;;;;;;;
A1;PF;PF04;0.31;0;0;;;;;;;;;;;;;;;;;;;
A1;PF;PF05;0.24;0;0.01;;;;;;;;;;;;;;;;;;;
A1;PF;PF06;0.37;0;0;;;;;;;;;;;;;;;;;;;
A1;PF;PF07;0.68;0;0;;;;;;;;;;;;;;;;;;;
A1;PF;PF08;0.23;0;0;;;;2.62;37.76;6;0;0;0;0;0;0;1;0;0;0;0;0;0
A1;PF;PF09;0.37;0;0.01;;;;;;;;;;;;;;;;;;;
A1;PF;PF10;0.54;0;0.01;;;;;;;;;;;;;;;;;;;
A2;C;C01;0.3;0;0;0.33;0.16;0.01;1.54;21.05;8.26;4;0;0;0;0;0;0;0;0;0;0;0;0
A2;C;C02;0.21;0;0;0.37;0.19;0.01;3.78;30.07;10.79;66;39;1;0;0;0;0;0;0;0;0;0;0
A2;C;C03;0.4;0;0;0.4;0.18;0.01;6.19;29.43;12.33;22;11;1;0;0;0;1;1;0;0;0;1;0
A2;C;C04;;;;;;;;;;21;4;0;0;0;0;0;1;0;0;0;0;0
A2;C;C05;0.25;0;0;0.37;0.19;0.01;6.74;32.23;11.41;19;50;5;3;0;0;0;18;1;0;0;0;0
A2;C;C06;0.24;0;0;0.25;0.19;0.01;2.4;30.12;11.11;1;6;0;0;0;0;0;16;0;0;0;0;0
A2;C;C07;0.26;0;0;0.32;0.19;0.01;4.25;24.03;10.17;0;4;0;0;0;1;0;0;0;0;0;0;0
A2;C;C08;0.13;0;0;0.42;0.21;0.01;4.82;37.24;10.63;38;0;0;0;0;0;0;3;0;0;3;1;2
A2;C;C09;0.18;0;0;0.24;0.19;0.01;3.36;26.67;9;18;12;2;1;0;0;6;15;0;0;0;0;0
A2;C;C10;0.25;0;0;0.31;0.22;0.01;3.19;21.57;6.35;1;10;0;1;0;0;1;8;5;0;0;0;0
A2;F;F01;0.17;0;0;0.39;0.21;0.01;4.21;37.11;10.83;13;58;4;0;0;0;0;3;0;1;0;0;0
A2;F;F02;0.33;0;0;0.34;0.21;0.01;1.82;23.04;5.86;2;0;0;0;0;0;5;6;0;0;0;0;0
A2;F;F03;0.3;0;0.01;0.34;0.22;0.01;3.86;34.29;10.06;5;40;2;1;1;0;9;5;0;0;0;0;0
A2;F;F04;0.39;0;0.01;0.31;0.19;0.01;2.64;23.72;8.76;5;2;0;1;0;0;1;0;0;0;0;0;0
A2;F;F05;0.19;0.01;0;;;;1.76;22.5;8;;;;;;;;;;;;;
A2;F;F06;0.19;0;0;0.27;0.2;0.01;3.02;25.99;10.22;28;2;2;0;0;0;18;14;0;0;0;0;2
A2;F;F07;0.33;0;0.01;;;;1.48;21.64;4;;;;;;;;;;;;;
A2;F;F08;0.2;0;0.01;;;;;;;;;;;;;;;;;;;
A2;F;F09;0.32;0;0;0.38;0.2;0.01;4.49;37.26;10.5;2;2;0;0;0;0;0;0;0;0;0;0;0
A2;F;F10;;;;;;;;;;;;;;;;;;;;;;
A2;P;P01;0.18;0;0;;;;;;;;;;;;;;;;;;;
A2;P;P02;0.4;0;0;;;;2.12;27.31;5;;;;;;;;;;;;;
A2;P;P03;0.31;0;0.01;;;;4.74;42.47;11;2;1;0;0;0;0;0;0;0;0;0;0;0
A2;P;P04;;;;;;;;;;21;58;3;5;0;0;1;0;0;0;0;0;0
A2;P;P05;;;;;;;;;;;;;;;;;;;;;;
A2;P;P06;0.42;0;0.01;;;;1.44;14.07;4;;;;;;;;;;;;;
A2;P;P07;0.28;0;0;;;;;;;;;;;;;;;;;;;
A2;P;P09;0.31;0;0;0.26;0.21;0.01;2.22;17.93;1.8;;;;;;;;;;;;;
A2;P;P10;0.32;0;0;0.29;0.21;0.01;4.64;30.4;10.81;3;4;2;3;0;0;1;2;0;0;0;0;0
A2;PF;PF01;0.22;0;0;0.27;0.21;0.01;3.71;14.12;4.5;;;;;;;;;;;;;
A2;PF;PF02;;;;;;;;;;;;;;;;;;;;;;
A2;PF;PF03;;;;;;;;;;;;;;;;;;;;;;
A2;PF;PF04;;;;;;;;;;;;;;;;;;;;;;
