area;tratamento;planta;condensed_g_1g_plant;totalphenols_g_1g_plant;hydrolyzable_g_1g_plant;media_carbs_totais;media_prots_totais;gords_totais;biofruto;area_semente;number_seed_avalability;hy_sp2;hy_sp3;hy_sp4;hy_sp5;hy_sp6;hy_sp7;hy_sp8;hy_sp9;hy_sp10;hy_sp11;hy_sp12;hy_sp13;hy_sp14;hy_sp15;hy_sp16;hy_sp17
A1;Co;C05;;;;;;;;;;;;;;;;;;;;;;;;;
A1;Co;C06;0.24;0;0;0.38;0.22;0.01;3.4;28.33;11.45;2;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0
A1;Co;C08;0.33;0;0.01;0.24;0.24;0.01;7.24;31.51;12.72;0;1;0;6;1;1;0;0;0;0;0;0;0;1;0;0
A1;Co;C09;0.16;0;0.01;0.28;0.16;0.01;1.76;26.32;4;;;;;;;;;;;;;;;;
A1;Co;C10;0.17;0;0;0.34;0.21;0.02;4.04;29.31;9.17;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
A1;F;F02;0.22;0;0;0.34;0.21;0.01;3.22;31.05;8.57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;F;F04;0.2;0;0;0.39;0.21;0.01;4.8;33.18;11.5;0;0;0;12;0;0;1;0;0;0;0;0;0;0;0;0
A1;F;F05;0.22;0;0.01;0.36;0.17;0.01;3.74;29.91;10.32;16;0;1;14;0;0;2;0;0;6;0;0;0;0;0;0
A1;F;F06;0.37;0;0.01;0.21;0.2;0.02;2.26;27.67;4.03;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1
A1;F;F07;0.51;0;0.01;0.24;0.18;0.02;0.82;11;2.64;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0
A1;F;F08;0.28;0;0;0.29;0.19;0.01;1.82;22.35;5.75;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
A1;F;F10;0.21;0;0;;;;;;;;;;;;;;;;;;;;;;
A1;C;P01;0.32;0;0.01;0.3;0.19;0.01;3.67;26.31;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
A1;C;P03;0.41;0;0.01;;;;;;;;;;;;;;;;;;;;;;
A1;C;P04;0.25;0;0.01;;;;;;;;;;;;;;;;;;;;;;
A1;C;P05;0.43;0;0.01;;;;;;;;;;;;;;;;;;;;;;
A1;C;P06;0.38;0;0.01;;;;;;;;;;;;;;;;;;;;;;
A1;C;P07;0.25;0;0;;;;;;;;;;;;;;;;;;;;;;
A1;C;P08;0.33;0;0.01;;;;;;;;;;;;;;;;;;;;;;
A1;C;P09;0.43;0;0.01;;;;;;;;;;;;;;;;;;;;;;
A1;C;P10;0.44;0;0.01;;;;;;;;;;;;;;;;;;;;;;
A1;CF;PF01;;;;;;;;;;;;;;;;;;;;;;;;;
A1;CF;PF02;;;;;;;;;;;;;;;;;;;;;;;;;
A1;CF;PF03;0.23;0;0;0.34;0.21;0.01;3.8;17.76;11;;;;;;;;;;;;;;;;
A1;CF;PF04;0.31;0;0;;;;;;;;;;;;;;;;;;;;;;
A1;CF;PF05;0.24;0;0.01;;;;;;;;;;;;;;;;;;;;;;
