orgao;area;planta;tratamento;trat_cut;trat_fert;total_totalfenols;total_hydrolizable;total_condensed
semente;a1;a1c01;Co;no;no;57.48;54.38;398.559499
semente;a1;a1c02;Co;no;no;35.08;28.13;243.1515299
semente;a1;a1c08;Co;no;no;48.96;124.87;572.0899141
semente;a1;a1c10;Co;no;no;62.93;192.92;325.3072272
semente;a1;a1f02;F;no;yes;82.71;116.69;491.2372697
semente;a1;a1f03;F;no;yes;116.77;317.08;732.2291224
semente;a1;a1f04;F;no;yes;88.57;1.91;478.541994
semente;a1;a1f05;F;no;yes;63.19;216.46;458.1974001
semente;a2;a2c02;Co;no;no;69.37;29.29;512.0591388
semente;a2;a2c03;Co;no;no;37.97;7.16;295.9975902
semente;a2;a2c05;Co;no;no;36.33;45.67;127.4264442
semente;a2;a2c08;Co;no;no;14.81;13.73;47.47019645
semente;a2;a2f01;F;no;yes;100.04;184.96;458.1969626
semente;a2;a2f02;F;no;yes;49;54.95;316.0378117
semente;a2;a2f03;F;no;yes;63.71;181.9;399.9224634
semente;a2;a2f06;F;no;yes;19.69;50.66;161.1978187
